id;the_geom;TYPE;Usage;Scale;Category
Buildings.1;MULTIPOLYGON (((768231.6763927785 2959323.262385148, 768230.2115006907 2959314.5960638956, 768218.1377059376 2959319.3575373115, 768220.0674921125 2959330.7584331473, 768231.6763927785 2959323.262385148)));OVHD-WALKWAY;R;S;R
Buildings.2;MULTIPOLYGON (((769713.2085346895 2957562.9834253932, 769706.8765263578 2957498.585588299, 769634.6060016158 2957505.691545214, 769640.9380099477 2957570.089382304, 769713.2085346895 2957562.9834253932)));BLDG;O;L;O
Buildings.3;MULTIPOLYGON (((769480.6876742699 2957689.5478048073, 769494.7368587713 2957688.0658523864, 769493.8710468555 2957679.859503962, 769486.6578066967 2957680.620657304, 769496.3995851142 2957670.0291430675, 769493.3638300289 2957641.2503292263, 769482.520347774 2957635.4471912235, 769459.9869282702 2957637.8244830444, 769464.8002388639 2957683.450047967, 769461.8120558565 2957683.7653360586, 769462.6230778567 2957691.4536408903, 769480.6876742699 2957689.5478048073)));BLDG;O;M;O
Buildings.4;MULTIPOLYGON (((769990.100041272 2957682.877542557, 769982.8395571134 2957607.837666389, 769983.8064186859 2957607.7441626526, 769982.5426416852 2957594.682837054, 769980.9347052728 2957578.061151146, 769979.8881194452 2957567.244899811, 769979.4445507826 2957567.2878787187, 769978.9120715259 2957567.339387807, 769978.6328726116 2957564.4545510574, 769978.1719155312 2957559.6937338137, 769977.4435705248 2957552.1635651398, 769977.1276262713 2957548.8965113014, 769975.8313690297 2957535.4979160503, 769973.249025108 2957508.80964923, 769972.9048656969 2957505.2519135606, 769952.4400116067 2957507.2318964694, 769949.8737437731 2957507.4802555596, 769949.7471036013 2957506.171203055, 769946.8563613604 2957476.2906853887, 769946.8219126033 2957475.9350430537, 769942.4643097837 2957476.3566301395, 769941.7878019377 2957476.4219187144, 769941.3629340243 2957476.463257222, 769871.2672736964 2957483.245067803, 769776.8094573619 2957492.3841571333, 769738.5982476923 2957496.08132822, 769745.6129974423 2957568.580855138, 769768.6270590278 2957566.354153553, 769777.9889169502 2957663.1154429754, 769812.9799886958 2957659.729951047, 769814.8769665229 2957679.338507632, 769824.391055108 2957678.418233882, 769824.1112000217 2957675.5265073874, 769870.4542831917 2957671.0429205624, 769872.6471921945 2957693.7075734003, 769921.0690113604 2957689.0225433856, 769918.9338450292 2957666.955330317, 769939.4305231873 2957664.812289966, 769942.5345196124 2957695.338803728, 769945.4823483534 2957695.0536993174, 769972.7811782823 2957692.4123003865, 769985.0026105216 2957691.2298880517, 769990.8533206149 2957690.663616224, 769990.100041272 2957682.877542557)));BLDG;O;M;O
Buildings.5;MULTIPOLYGON (((769598.2448538557 2957698.5796108968, 769596.5466945332 2957682.482530215, 769623.2507093553 2957679.665606717, 769622.9846337726 2957677.142645895, 769658.9868583528 2957673.344425141, 769664.7073193657 2957672.7410798958, 769667.7768670327 2957672.4172616415, 769672.7283006924 2957671.8949529813, 769677.896925524 2957671.3496784684, 769683.1390410218 2957670.7965299827, 769697.630809948 2957669.2676616423, 769702.7252879455 2957668.7302611438, 769718.559901939 2957667.059988879, 769723.208514691 2957666.569504309, 769727.7823244472 2957666.087221809, 769719.8866709459 2957591.240914802, 769724.2019510265 2957590.785535143, 769722.6150119455 2957575.7435704744, 769714.2738212814 2957576.623161892, 769708.3364971876 2957577.2494729753, 769694.5241888626 2957578.706491047, 769688.5868647706 2957579.3328021397, 769665.5747716873 2957581.760618808, 769659.6374476113 2957582.3869298967, 769644.3841972813 2957583.996178636, 769644.0242898616 2957580.582799648, 769621.4511722784 2957582.9640284763, 769622.1539267738 2957589.625432476, 769614.1667380172 2957590.4679504805, 769613.7353084392 2957586.3780636406, 769611.1460747711 2957586.651028974, 769605.2087506955 2957587.277340053, 769592.9295757703 2957588.572941132, 769560.2255729458 2957592.023065472, 769554.2882488525 2957592.649376556, 769540.26859185 2957594.128048137, 769528.8683521902 2957595.3308016234, 769529.2075903582 2957598.5447059693, 769520.9234861879 2957599.418719976, 769520.511413531 2957595.514528302, 769504.1817217787 2957597.236965804, 769500.7942613531 2957597.59457664, 769500.0222812733 2957597.6756132203, 769494.0849571972 2957598.3019243036, 769487.4343799349 2957599.0036945567, 769489.0196786093 2957614.030239313, 769472.7359185219 2957615.748083636, 769473.9006143518 2957626.7894001384, 769493.6482782807 2957624.7063990533, 769495.5455841878 2957642.689302726, 769499.0632936951 2957676.0347084687, 769495.6171063622 2957676.3982248143, 769495.9655308579 2957679.703008218, 769497.285410107 2957692.2151223063, 769499.2345531874 2957692.0094140624, 769542.6950961953 2957687.4251056453, 769544.4703551081 2957704.2524998016, 769598.2448538557 2957698.5796108968)));BLDG;O;M;O
Buildings.6;MULTIPOLYGON (((769173.7105979478 2957767.953487887, 769153.9570285253 2957707.145210556, 769110.4318531174 2957717.905031558, 769111.434147686 2957720.920773559, 769120.1513218582 2957747.143818224, 769132.4511660195 2957784.1430880534, 769173.7105979478 2957767.953487887)));BLDG;O;M;O
Buildings.7;MULTIPOLYGON (((768785.4866368615 2957886.352201232, 768950.3081576097 2957833.7548654764, 768906.8000425252 2957697.6786940484, 768723.9214712672 2957756.1516742236, 768732.8092487749 2957777.165739805, 768750.8820472796 2957819.8995782374, 768762.014242858 2957815.507854731, 768762.4312367758 2957816.8116578893, 768766.6795878565 2957830.099689055, 768766.8252568542 2957830.555396807, 768761.6638498612 2957832.205984059, 768762.4811054461 2957834.7620813097, 768757.493254528 2957836.3568943823, 768771.5670452733 2957869.84928147, 768773.5421069409 2957869.355516064, 768778.0293026855 2957883.3899367983, 768783.9357869469 2957881.5014891475, 768785.4866368615 2957886.352201232)));BLDG;R;L;O
Buildings.8;MULTIPOLYGON (((769738.6937199405 2957927.5345335593, 769756.9226861167 2957924.5473348084, 769757.237318025 2957926.467278479, 769793.6850797688 2957920.4951775526, 769793.370447859 2957918.5749058127, 769812.2772341984 2957915.476814893, 769811.7506604337 2957912.26225438, 769808.9813090267 2957895.3633380486, 769828.9254948662 2957892.09497189, 769828.6827131957 2957890.6146598915, 769850.3772236123 2957887.0595488953, 769845.8690305213 2957859.5487771477, 769846.6666011054 2957859.4181999755, 769852.8683603569 2957858.401797812, 769880.0067575296 2957853.954956312, 769892.5917061111 2957851.8926244755, 769899.9729249466 2957896.937153816, 769897.867942275 2957897.281969399, 769898.2859204432 2957899.8318330627, 769898.7134130319 2957902.440095556, 769898.8728615217 2957903.4141749693, 769902.78722377 2957902.772772057, 770007.065230446 2957885.6848797193, 770009.8454086048 2957885.229500051, 770014.5901497772 2957884.451614463, 770033.0130131984 2957881.4329197193, 770039.2255991838 2957880.414877148, 770038.8414136019 2957878.0697374768, 770028.4201746145 2957814.477016892, 770027.7679449462 2957814.583972048, 770026.2620424472 2957805.393701737, 770023.6354072684 2957789.364534307, 770021.7377732699 2957777.785817306, 770021.5497815327 2957776.637197548, 770018.7371231036 2957759.4738460556, 770019.5005730258 2957759.3488462945, 770008.5265136062 2957692.3801482315, 769991.3500387826 2957695.194775149, 769981.5088511124 2957696.8076328025, 769976.7496742748 2957697.587486883, 769973.0613614488 2957698.1918163877, 769974.0853095193 2957704.4411477284, 769974.1525666123 2957704.8509238116, 769973.8818978535 2957704.895215067, 769942.7002016895 2957710.0047849007, 769945.4013117708 2957726.4873634647, 769945.4291988619 2957726.657638727, 769928.5086290252 2957729.4302709647, 769928.4597446021 2957728.9804687127, 769925.634947107 2957702.971990556, 769922.8111338622 2957703.2475805576, 769922.6438113599 2957703.263984726, 769817.1266339442 2957713.5605520546, 769813.0121408553 2957713.9621260585, 769809.1220567819 2957714.3417184786, 769809.1761905244 2957714.90241289, 769809.2572271068 2957715.742634315, 769809.2949567008 2957716.1340377154, 769809.3313739451 2957716.513302047, 769809.3681192684 2957716.8938787226, 769809.4035522781 2957717.25805123, 769809.5974495275 2957719.2708424833, 769815.1568216099 2957776.917708812, 769816.3362811964 2957776.7244677297, 769817.7250579458 2957776.496777893, 769819.8339776102 2957789.36715898, 769811.2788766039 2957790.7690590676, 769810.6617518503 2957787.004630895, 769804.6230500196 2957750.15267047, 769804.331383943 2957750.200570639, 769766.3760792762 2957756.4200463872, 769765.8731275216 2957753.350826815, 769729.5828457762 2957759.297665317, 769729.9850759358 2957761.7507443908, 769711.3712680183 2957764.8009351455, 769714.6009203641 2957784.5092290626, 769694.1593601868 2957787.8589598984, 769694.9618520301 2957792.755275572, 769702.5182673625 2957838.8680442246, 769708.841089352 2957877.4539250527, 769710.4165455245 2957887.068735225, 769710.4404956115 2957887.2153884773, 769711.8102435325 2957895.574623717, 769713.5668016993 2957906.2927781413, 769713.6445574464 2957906.767186641, 769714.9309721901 2957906.556557149, 769714.9654209459 2957906.766858553, 769715.66391036 2957911.0296453047, 769735.4575059427 2957907.7862134776, 769738.6937199405 2957927.5345335593)));BLDG;O;M;O
Buildings.9;MULTIPOLYGON (((769631.9685396858 2957931.2720588944, 769655.6633741857 2957927.377381634, 769669.9464821089 2957925.0296173086, 769661.2873786999 2957872.3476360585, 769658.3041169342 2957854.1993783815, 769646.6604394474 2957783.3609373793, 769598.3557460328 2957791.3008821458, 769608.5430616155 2957853.2781203953, 769608.7950296109 2957853.2367818914, 769610.9016526946 2957866.053685398, 769610.6496846976 2957866.0950238826, 769617.8041979364 2957909.6221678164, 769621.0669866955 2957929.4731779685, 769621.641788693 2957932.969562047, 769622.92984386 2957932.7579483045, 769631.9685396858 2957931.2720588944)));BLDG;O;M;O
Buildings.10;MULTIPOLYGON (((769599.764207782 2957940.670662132, 769594.258969442 2957909.2061581407, 769589.5122597825 2957910.0365370596, 769584.0693572762 2957910.9889629823, 769571.885982694 2957913.120520391, 769559.0949977782 2957915.358704896, 769558.2282016142 2957915.5102793826, 769557.463111282 2957915.64413739, 769548.4017776838 2957917.2294360534, 769555.1353600334 2957955.7155795535, 769558.1130443527 2957955.1945832274, 769568.7603327783 2957953.3317260565, 769586.0132510219 2957950.3130313135, 769592.5302983515 2957949.172285551, 769600.9925517731 2957947.6919735526, 769599.764207782 2957940.670662132)));BLDG;O;M;O
